,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
0,15m,200,20,40,0.8,-11.19500136,0.333333333,-11.19500136,0
1,15m,200,20,40,1.2,-2.715833029,0.5,-7.818161661,1
2,15m,200,20,40,1.6,-25.09395057,0.166666667,-25.09395057,0
3,15m,200,20,60,0.8,-26.61765366,0.222222222,-26.61765366,0
4,15m,200,20,60,1.2,-1.657850863,0,-1.657850863,0
5,15m,200,20,60,1.6,-8.163738222,0.333333333,-13.37641884,1
6,15m,200,20,80,0.8,-33.31700006,0,-33.31700006,0
7,15m,200,20,80,1.2,-3.040713439,0.333333333,-6.9193788,1
8,15m,200,20,80,1.6,-0.783198738,0.333333333,-3.360672311,1
9,15m,200,20,120,0.8,8.500041654,1,,1
10,15m,200,20,120,1.2,0.032157281,0.5,-5.404974984,1
11,15m,200,20,120,1.6,,,,0
12,15m,200,20,160,0.8,-117.8385414,0,-117.8385414,0
13,15m,200,20,160,1.2,36.48966916,0.5,-2.259456167,1
14,15m,200,20,160,1.6,0,0,,0
15,15m,200,40,40,0.8,-6.861383265,0,-10.2920749,0
16,15m,200,40,40,1.2,-2.573487714,0,-2.573487714,0
17,15m,200,40,40,1.6,-3.711557112,0,-3.711557112,0
18,15m,200,40,60,0.8,-11.7902964,0,-11.7902964,0
19,15m,200,40,60,1.2,-1.556579556,0.166666667,-15.13374593,1
20,15m,200,40,60,1.6,-2.687745699,0,-8.063237098,0
21,15m,200,40,80,0.8,-3.987193964,0,-3.987193964,0
22,15m,200,40,80,1.2,-13.67499985,0,-20.51249977,0
23,15m,200,40,80,1.6,-22.82371572,0,-34.23557358,0
24,15m,200,40,120,0.8,-16.20954631,0,-24.31431946,0
25,15m,200,40,120,1.2,-8.444378058,0,-8.444378058,0
26,15m,200,40,120,1.6,0,0,,0
27,15m,200,40,160,0.8,0,0,,0
28,15m,200,40,160,1.2,-0.186176599,0,-0.186176599,0
29,15m,200,40,160,1.6,-9.934113198,0,-9.934113198,0
30,15m,200,60,40,0.8,-5.479258913,0,-8.218888369,0
31,15m,200,60,40,1.2,-0.261968625,0.333333333,-15.20805262,1
32,15m,200,60,40,1.6,3.14200231,0.333333333,,1
33,15m,200,60,60,0.8,-11.45453472,0,-17.18180208,0
34,15m,200,60,60,1.2,-17.78737366,0,-17.78737366,0
35,15m,200,60,60,1.6,-4.521957312,0,-13.56587194,0
36,15m,200,60,80,0.8,-2.47500242,0,-3.71250363,0
37,15m,200,60,80,1.2,-0.733935887,0,-1.467871773,0
38,15m,200,60,80,1.6,0,0,,0
39,15m,200,60,120,0.8,0,0,,0
40,15m,200,60,120,1.2,,,,0
41,15m,200,60,120,1.6,0,0,,0
42,15m,200,60,160,0.8,-7.722920747,0,-23.16876224,0
43,15m,200,60,160,1.2,0,0,,0
44,15m,200,60,160,1.6,0,0,,0
45,15m,200,80,40,0.8,-0.988306907,0,-1.48246036,0
46,15m,200,80,40,1.2,-1.221843046,0.333333333,-10.55799435,1
47,15m,200,80,40,1.6,-8.868898493,0,-13.30334774,0
48,15m,200,80,60,0.8,2.534813032,0.333333333,,1
49,15m,200,80,60,1.2,2.534813032,0.333333333,,1
50,15m,200,80,60,1.6,0,0,,0
51,15m,200,80,80,0.8,0,0,,0
52,15m,200,80,80,1.2,0,0,,0
53,15m,200,80,80,1.6,0,0,,0
54,15m,200,80,120,0.8,0,0,,0
55,15m,200,80,120,1.2,,,,0
56,15m,200,80,120,1.6,0,0,,0
57,15m,200,80,160,0.8,,,,0
58,15m,200,80,160,1.2,,,,0
59,15m,200,80,160,1.6,,,,0
60,15m,200,120,40,0.8,0,0,,0
61,15m,200,120,40,1.2,0.459213413,0.333333333,,1
62,15m,200,120,40,1.6,-4.563547825,0.333333333,-25.1210858,1
63,15m,200,120,60,0.8,2.716501132,0.5,,1
64,15m,200,120,60,1.2,4.061656607,0.666666667,-3.139677222,2
65,15m,200,120,60,1.6,3.722079684,0.666666667,,2
66,15m,200,120,80,0.8,-3.326851436,0,-3.326851436,0
67,15m,200,120,80,1.2,,,,0
68,15m,200,120,80,1.6,-5.108788126,0,-10.21757625,0
69,15m,200,120,120,0.8,0,0,,0
70,15m,200,120,120,1.2,0,0,,0
71,15m,200,120,120,1.6,0,0,,0
72,15m,200,120,160,0.8,,,,0
73,15m,200,120,160,1.2,,,,0
74,15m,200,120,160,1.6,,,,0
75,15m,200,200,40,0.8,0.750078071,0.5,-0.177666704,1
76,15m,200,200,40,1.2,0.529140484,0.333333333,-6.272134338,1
77,15m,200,200,40,1.6,2.018673062,0.666666667,,2
78,15m,200,200,60,0.8,,,,0
79,15m,200,200,60,1.2,,,,0
80,15m,200,200,60,1.6,0,0,,0
81,15m,200,200,80,0.8,0,0,,0
82,15m,200,200,80,1.2,0,0,,0
83,15m,200,200,80,1.6,,,,0
84,15m,200,200,120,0.8,2.688069519,0.333333333,,1
85,15m,200,200,120,1.2,0,0,,0
86,15m,200,200,120,1.6,0,0,,0
87,15m,200,200,160,0.8,,,,0
88,15m,200,200,160,1.2,0,0,,0
89,15m,200,200,160,1.6,,,,0